marital_status,car_use,gender,kids_driving,parent,education,car_make,car_color,car_year,claim_freq,coverage_zone,claim_amt,household_income,total_claim_amount_per_time
Single,Private,Female,0,No,High School,Volkswagen,Green,2000,0,Urban,35179.17,63045.41,0
Single,Private,Male,0,No,Masters,Chevrolet,Teal,1997,0,Urban,36383.26,227952.39,0
Married,Private,Male,0,No,Masters,GMC,Blue,2001,0,Highly Rural,64238.29,225759.37,0
Married,Private,Female,0,No,Bachelors,Pontiac,Turquoise,1999,0,Suburban,30102.61,87875.92,0
Single,Private,Female,1,Yes,Masters,Mitsubishi,Turquoise,2010,0,Suburban,91964.27,219452.81,0
Married,Commercial,Female,0,Yes,PhD,Audi,Fuscia,2010,0,Highly Rural,3099.44,48877.65,0
Single,Commercial,Male,0,Yes,High School,Mercury,Crimson,1987,4,Suburban,48492.53,183633.1,12123.1325
Married,Private,Female,0,No,Masters,Volkswagen,Fuscia,2009,0,Suburban,54811.6,80159.34,0
Single,Private,Female,0,Yes,Bachelors,Lexus,Indigo,1999,0,Urban,23506.63,93385.3,0
Married,Private,Female,0,Yes,PhD,GMC,Green,1996,0,Rural,27889.69,189330.45,0
Married,Private,Female,0,No,Bachelors,Hummer,Crimson,2003,1,Highly Urban,39821.35,196558.69,39821.35
Married,Private,Female,1,Yes,Bachelors,Cadillac,Goldenrod,2007,0,Urban,62646.16,110676.62,0
Married,Commercial,Male,0,Yes,Bachelors,Suzuki,Indigo,2006,1,Highly Rural,25805,143073.59,25805
Single,Private,Female,0,Yes,Bachelors,Cadillac,Goldenrod,2008,0,Suburban,9987.01,226974.65,0
Single,Private,Male,1,Yes,Bachelors,Isuzu,Maroon,2008,0,Rural,3682.58,214427.4,0
Divorced,Private,Male,0,Yes,Masters,Acura,Goldenrod,1999,0,Highly Urban,91200.47,119946.53,0
Married,Commercial,Female,0,No,Masters,Audi,Khaki,2003,0,Highly Urban,78477.75,157075.92,0
Single,Commercial,Female,2,Yes,PhD,Acura,Green,1992,0,Highly Rural,37625.65,167510.45,0
Single,Private,Female,0,No,Bachelors,Chevrolet,Pink,1992,1,Rural,96063.64,183195.37,96063.64
Married,Commercial,Female,0,Yes,High School,Porsche,Yellow,1986,0,Suburban,59372.18,73525.97,0
Single,Commercial,Female,0,No,Bachelors,Chevrolet,Teal,1997,0,Urban,25255.91,210702.79,0
Married,Private,Male,0,No,Bachelors,Dodge,Green,2000,0,Highly Urban,79827.31,51471.68,0
Married,Private,Female,1,Yes,Bachelors,Ford,Red,1992,0,Rural,15783.95,152690.09,0
Single,Private,Female,0,No,PhD,Volkswagen,Pink,2006,3,Highly Urban,12722.45,130459.94,4240.816667
Single,Private,Female,3,Yes,Bachelors,Mazda,Indigo,1993,0,Urban,38529.92,188653.32,0
Single,Private,Male,0,No,Bachelors,Toyota,Goldenrod,1995,0,Urban,5066.75,184453.91,0
Divorced,Private,Female,2,Yes,Bachelors,Audi,Aquamarine,2005,0,Highly Urban,30944.26,53717.64,0
Single,Private,Male,2,Yes,Masters,Ford,Turquoise,1980,0,Rural,48953.02,102078.14,0
Single,Private,Female,0,No,Bachelors,Chevrolet,Blue,2001,0,Highly Rural,80038.94,236235.67,0
Married,Private,Female,0,No,High School,Mitsubishi,Fuscia,2007,0,Urban,60470.98,239736.8,0
Single,Private,Male,0,Yes,Bachelors,Mercedes-Benz,Indigo,1999,0,Rural,43355.64,127580.56,0
Single,Private,Female,0,No,PhD,Volvo,Goldenrod,2009,0,Urban,98572.93,197103.5,0
Single,Private,Female,0,No,Bachelors,Ford,Teal,2005,1,Suburban,14619.58,209034.1,14619.58
Divorced,Private,Female,1,Yes,Bachelors,BMW,Green,1995,4,Rural,77334.02,116978.32,19333.505
Single,Private,Female,0,No,Bachelors,Dodge,Blue,1997,1,Rural,42285.88,126388.66,42285.88
Married,Private,Female,0,No,Bachelors,Chevrolet,Green,2007,1,Suburban,24683.62,244848.18,24683.62
Divorced,Commercial,Female,0,No,Masters,Pontiac,Fuscia,1985,0,Suburban,52271.3,198531.05,0
Single,Commercial,Male,0,No,Bachelors,Honda,Crimson,2001,0,Suburban,98336.96,107728.41,0
Married,Private,Female,0,No,High School,Lincoln,Purple,2005,0,Highly Rural,61453.13,106560.43,0
Single,Private,Male,1,Yes,Masters,Suzuki,Maroon,2007,0,Highly Rural,21427.85,162076.48,0
Married,Private,Male,2,Yes,Bachelors,Mazda,Aquamarine,1993,0,Rural,45808.99,238374.96,0
Single,Private,Female,0,No,Bachelors,Mercedes-Benz,Violet,2006,1,Highly Urban,84708.94,181630.44,84708.94
Single,Private,Female,1,Yes,Bachelors,Saturn,Violet,2007,0,Urban,41867.87,50364.67,0
Married,Private,Male,0,Yes,Bachelors,BMW,Purple,2000,0,Suburban,5954.41,246416.49,0
Married,Commercial,Female,0,No,PhD,Lotus,Puce,1991,0,Urban,96167.42,186155.45,0
Single,Private,Male,3,Yes,Bachelors,Mitsubishi,Violet,1991,1,Highly Rural,72005.13,168225.91,72005.13
Married,Commercial,Female,0,No,Bachelors,Chevrolet,Orange,1992,4,Urban,18239.5,238370.27,4559.875
Seperated,Private,Male,0,Yes,High School,Oldsmobile,Fuscia,1998,1,Highly Urban,29273.01,131956.25,29273.01
Married,Private,Female,0,No,Bachelors,Lexus,Blue,2009,0,Urban,36759.06,162617.1,0
Single,Private,Female,0,No,Bachelors,Mitsubishi,Violet,2007,0,Highly Urban,99731.69,206923.05,0
Married,Private,Female,0,No,Masters,Audi,Puce,1990,4,Suburban,29264.41,106989,7316.1025
Married,Private,Female,0,No,High School,Hyundai,Puce,2002,0,Suburban,66345.44,71890.18,0
Single,Private,Male,0,No,Bachelors,Lincoln,Maroon,1992,2,Rural,81445.09,184214.23,40722.545
Married,Private,Male,0,No,Bachelors,Rolls-Royce,Orange,2012,0,Suburban,94681.46,134457.76,0
Married,Commercial,Female,0,No,High School,Jeep,Blue,1994,0,Highly Urban,20973.37,64177.87,0
Married,Commercial,Female,0,No,PhD,Cadillac,Orange,2005,0,Highly Urban,64432.86,153079.73,0
Married,Private,Female,0,No,High School,Nissan,Orange,2006,0,Rural,22164.32,126623.35,0
Single,Private,Male,1,Yes,High School,Lexus,Maroon,2008,0,Urban,38108.81,242917.21,0
Single,Private,Male,0,Yes,Bachelors,Chevrolet,Purple,2010,0,Highly Rural,70848.22,57041.31,0
Single,Private,Female,0,No,Bachelors,Pontiac,Teal,1996,1,Highly Urban,30635.75,122933.34,30635.75
Divorced,Private,Female,1,Yes,PhD,Scion,Pink,2010,0,Rural,69396.43,69552.77,0
Divorced,Private,Male,0,Yes,Bachelors,BMW,Khaki,2006,1,Rural,8256.52,192810.53,8256.52
Single,Commercial,Male,0,Yes,Bachelors,Chrysler,Goldenrod,2000,0,Rural,10210.57,60856.69,0
Single,Private,Female,1,Yes,Bachelors,Audi,Red,2000,0,Highly Rural,668.74,122069.35,0
Single,Private,Female,0,Yes,High School,BMW,Green,2005,4,Highly Rural,54195.27,103018.1,13548.8175
Single,Private,Female,0,No,Masters,BMW,Puce,2008,0,Urban,40147.44,62130.87,0
Divorced,Private,Male,0,No,Bachelors,Ford,Fuscia,2011,0,Rural,21063.09,100456.29,0
Single,Private,Male,0,No,Masters,Mercury,Orange,2006,0,Suburban,62336.2,212387.72,0
Single,Private,Male,0,No,Masters,Volkswagen,Red,2007,0,Rural,88957.82,238856.29,0
Single,Private,Female,0,No,Bachelors,Nissan,Violet,1991,1,Urban,52050.97,126812.77,52050.97
Single,Commercial,Male,3,Yes,Bachelors,Chevrolet,Teal,2004,0,Rural,73755.66,239190.8,0
Married,Private,Male,0,No,High School,Lincoln,Violet,2010,0,Urban,78551.35,243004.77,0
Single,Private,Male,0,No,Bachelors,Oldsmobile,Purple,1995,0,Rural,49766.66,112802.4,0
Married,Private,Male,0,No,High School,Daewoo,Crimson,2000,0,Highly Urban,39213.46,160218.45,0
Married,Private,Female,0,Yes,Masters,Audi,Fuscia,1991,0,Highly Rural,42666.94,162880.06,0
Single,Private,Female,0,No,Masters,Lincoln,Teal,1993,2,Suburban,95302.66,191107.28,47651.33
Single,Private,Female,0,No,Bachelors,GMC,Turquoise,1996,0,Urban,78902.24,185581.49,0
Married,Private,Male,1,Yes,Bachelors,Mercedes-Benz,Green,1992,0,Highly Rural,95368.78,132741.23,0
Seperated,Private,Male,1,Yes,Bachelors,Pontiac,Blue,1986,1,Suburban,90988.47,238273.59,90988.47
Seperated,Private,Male,0,No,Masters,Mercedes-Benz,Crimson,1993,0,Suburban,86046.62,121530.66,0
Single,Private,Male,0,No,PhD,Audi,Mauv,1986,0,Highly Rural,91585.54,134482.93,0
Single,Commercial,Male,0,No,PhD,Audi,Blue,2010,1,Rural,13684.39,93040.07,13684.39
Single,Private,Female,0,No,Masters,Saab,Khaki,1991,1,Rural,57035,192411.36,57035
Single,Private,Female,0,No,High School,Jeep,Red,2004,0,Urban,25430.86,109662.96,0
Single,Private,Female,0,Yes,High School,GMC,Khaki,2013,0,Urban,87235.11,74158.96,0
Single,Commercial,Female,0,No,Bachelors,Saab,Green,1995,0,Urban,13724.9,205644.37,0
Single,Private,Female,0,No,High School,Buick,Pink,1991,0,Urban,32737.97,185585.06,0
Seperated,Private,Female,0,No,High School,Mercury,Fuscia,2001,0,Highly Rural,14955.32,141243.65,0
Married,Commercial,Female,0,No,High School,Honda,Purple,2011,0,Urban,37521.4,112119.37,0
Single,Private,Female,0,No,Bachelors,Subaru,Khaki,1992,0,Urban,31522.32,197416.4,0
Divorced,Private,Female,1,Yes,High School,Cadillac,Goldenrod,2007,0,Suburban,13373.94,104034.19,0
Single,Private,Male,0,Yes,Bachelors,GMC,Puce,1992,0,Suburban,16412.04,206834.78,0
Married,Commercial,Male,0,No,Bachelors,Lexus,Aquamarine,2004,0,Urban,20791.19,185712.88,0
Divorced,Private,Male,1,Yes,PhD,Ford,Violet,1965,0,Suburban,35005.72,193538.37,0
Single,Commercial,Male,0,No,PhD,Isuzu,Yellow,1998,0,Highly Urban,24677.06,215450.86,0
Single,Private,Female,2,Yes,Bachelors,GMC,Goldenrod,1993,0,Urban,28256.56,186597.48,0
Married,Private,Male,0,No,Bachelors,Chevrolet,Puce,2002,0,Urban,12497.05,89921.01,0
Single,Private,Male,0,No,High School,Mazda,Maroon,1997,0,Highly Urban,46539.93,108167.03,0
Single,Private,Female,0,No,High School,Ford,Orange,2003,0,Urban,50840,101933.81,0
Single,Private,Female,1,Yes,High School,Chevrolet,Aquamarine,1979,0,Highly Rural,74997.13,65062.16,0
Divorced,Private,Male,0,No,Masters,Chrysler,Indigo,2006,0,Highly Urban,29634.8,51951.43,0
Single,Private,Female,1,Yes,Bachelors,Lexus,Turquoise,2001,0,Highly Rural,60953.89,248438.71,0
Married,Private,Male,1,Yes,Bachelors,Toyota,Purple,1998,2,Rural,98384.38,56568.17,49192.19
Married,Commercial,Female,1,Yes,High School,Porsche,Puce,2010,0,Highly Rural,41851.96,114307.6,0
Single,Private,Male,1,Yes,Bachelors,GMC,Purple,2001,0,Highly Urban,19688.89,152721.22,0
Divorced,Private,Female,0,No,High School,Bentley,Green,2010,0,Rural,79820.05,248323.07,0
Married,Private,Female,0,No,High School,Subaru,Blue,2007,1,Rural,21434.39,164941.15,21434.39
Divorced,Private,Female,0,Yes,Masters,BMW,Orange,2003,0,Suburban,5664.4,201871.27,0
Married,Private,Male,0,No,Bachelors,Ford,Crimson,2011,0,Rural,48912.96,243163.58,0
Married,Private,Female,0,No,Bachelors,Saab,Green,2003,0,Highly Rural,86088.68,45693.88,0
Single,Private,Female,0,No,High School,Lamborghini,Khaki,2008,0,Highly Rural,83663,127620.16,0
Married,Private,Male,0,Yes,Masters,Toyota,Pink,2001,0,Urban,3671.55,235897.68,0
Single,Private,Female,1,Yes,Bachelors,Buick,Fuscia,1994,0,Urban,50325.91,76493.44,0
Married,Private,Female,0,No,Bachelors,BMW,Goldenrod,2009,0,Urban,38496.26,218487.23,0
Married,Private,Female,0,No,High School,Toyota,Yellow,1997,0,Highly Urban,24114.96,178141.33,0
Single,Private,Male,0,No,Bachelors,Toyota,Turquoise,2007,1,Urban,22293.81,155483.41,22293.81
Married,Private,Female,0,Yes,High School,Isuzu,Teal,2009,0,Urban,73742.55,70229.14,0
Married,Private,Male,0,No,Bachelors,Dodge,Green,2000,2,Highly Rural,10213.6,111597.43,5106.8
Married,Private,Female,0,No,Masters,Ford,Aquamarine,1991,1,Rural,27492.37,117643.54,27492.37
Seperated,Private,Male,0,No,High School,Chevrolet,Turquoise,1997,0,Rural,36247.5,52255.35,0
Single,Private,Male,0,No,Masters,Chevrolet,Mauv,2004,0,Highly Rural,51273.15,241692.68,0
Single,Private,Male,0,Yes,High School,BMW,Aquamarine,2007,2,Highly Rural,73113.33,46567.81,36556.665
Married,Private,Female,0,No,Bachelors,Mitsubishi,Blue,1988,0,Suburban,94135.22,91713.58,0
Single,Commercial,Male,1,Yes,High School,Ford,Orange,2006,0,Highly Rural,95647.01,62188.68,0
Single,Private,Male,0,No,Bachelors,Dodge,Orange,2002,0,Highly Urban,96455.43,195828.43,0
Divorced,Private,Female,0,No,Bachelors,Infiniti,Pink,1993,2,Highly Rural,30510.69,105878.91,15255.345
Seperated,Private,Male,0,No,PhD,Ford,Goldenrod,1995,0,Urban,11901.76,111281.48,0
Seperated,Private,Male,0,Yes,High School,Ford,Aquamarine,1995,0,Highly Urban,44344.5,195301.88,0
Married,Private,Male,1,Yes,Masters,Pontiac,Green,1985,0,Highly Urban,55775.23,84683.16,0
Single,Private,Male,1,Yes,Bachelors,Toyota,Red,1994,1,Urban,94972.4,185589.56,94972.4
Married,Private,Female,0,Yes,High School,Nissan,Yellow,1998,2,Urban,84421.21,158986.5,42210.605
Married,Private,Female,0,Yes,Bachelors,GMC,Aquamarine,2006,1,Urban,91316.63,179710.82,91316.63
Single,Private,Female,0,No,Bachelors,Suzuki,Maroon,2007,0,Rural,25118.51,126322.3,0
Divorced,Private,Female,0,No,High School,Plymouth,Teal,1998,0,Highly Urban,89469.68,54050.91,0
Married,Private,Male,1,Yes,Bachelors,Subaru,Aquamarine,1996,0,Highly Urban,36875.15,122504.98,0
Single,Commercial,Male,0,No,PhD,Chevrolet,Mauv,2013,0,Rural,67578.07,195038.86,0
Single,Private,Female,3,Yes,PhD,Mercedes-Benz,Fuscia,1984,0,Urban,16926.8,214849.56,0
Seperated,Private,Male,1,Yes,High School,Dodge,Fuscia,1998,0,Suburban,74116.19,177539.46,0
Single,Commercial,Male,2,Yes,Bachelors,Volvo,Puce,2006,0,Highly Urban,15028.54,126220.78,0
Single,Private,Female,1,Yes,High School,Isuzu,Khaki,2005,3,Suburban,41348.06,62566.47,13782.68667
Single,Private,Male,0,No,High School,Chevrolet,Green,2007,0,Suburban,91817.34,179459.83,0
Single,Private,Male,0,Yes,Masters,Jaguar,Green,2008,0,Urban,86626.28,132641.24,0
Married,Private,Female,0,No,Bachelors,Ford,Purple,1973,1,Highly Rural,36663.91,141967.67,36663.91
Married,Commercial,Female,0,No,Bachelors,Chevrolet,Fuscia,2000,0,Urban,1580.89,193954.19,0
Single,Private,Female,0,Yes,High School,Mitsubishi,Purple,1998,0,Urban,60482.42,54341.04,0
Divorced,Private,Male,0,No,High School,Lotus,Indigo,1998,4,Highly Rural,26766.93,221655.91,6691.7325
Divorced,Private,Male,0,No,Bachelors,BMW,Puce,2001,1,Highly Rural,90752.33,179353.42,90752.33
Single,Private,Female,0,No,Bachelors,Subaru,Blue,1999,0,Highly Rural,63197.97,61671.95,0
Single,Commercial,Female,0,No,Masters,Chrysler,Khaki,2005,0,Highly Rural,6605.94,168123.73,0
Single,Private,Male,2,Yes,High School,Mazda,Goldenrod,1992,0,Rural,49696.35,134481.85,0
Married,Private,Female,1,Yes,Bachelors,Jeep,Yellow,1993,2,Highly Rural,87765.1,211050.49,43882.55
Married,Private,Female,0,Yes,Bachelors,Mercury,Yellow,1997,0,Suburban,44988.16,80242.91,0
Married,Commercial,Male,0,No,PhD,Mitsubishi,Yellow,1999,1,Urban,28340.12,139589.38,28340.12
Married,Private,Female,0,No,Bachelors,Bentley,Mauv,2007,0,Rural,24720.71,87225.03,0
Single,Private,Male,0,No,High School,Dodge,Khaki,2001,0,Suburban,15661.95,52169.26,0
Seperated,Private,Female,0,No,Masters,Ford,Yellow,1983,0,Highly Urban,53634.13,54000.65,0
Single,Commercial,Male,0,No,High School,Bentley,Blue,2010,0,Highly Urban,32967.68,64431.98,0
Married,Private,Female,1,Yes,Bachelors,Jaguar,Indigo,2001,0,Highly Rural,76611.81,207562.59,0
Married,Private,Female,0,No,Bachelors,Ford,Orange,2001,1,Highly Rural,49210.56,240111.45,49210.56
Seperated,Private,Female,0,No,High School,BMW,Indigo,2010,0,Suburban,50336.94,166761.84,0
Single,Commercial,Male,0,No,High School,BMW,Orange,2010,1,Highly Urban,12104.79,171170,12104.79
Single,Private,Male,0,No,Masters,Buick,Fuscia,2012,1,Highly Rural,37859.26,189041.87,37859.26
Single,Private,Male,1,Yes,Bachelors,Subaru,Maroon,1993,0,Urban,42423.99,194976.73,0
Married,Private,Female,0,No,High School,Lincoln,Turquoise,1999,0,Urban,28145.31,57043.85,0
Divorced,Private,Male,0,No,Bachelors,Infiniti,Teal,2001,0,Highly Rural,51355.1,169636.04,0
Divorced,Private,Female,0,No,Masters,GMC,Turquoise,2007,0,Suburban,78348.89,204474.63,0
